Opening Weekend USA,budget,critic number,user review number,Cumulative Worldwide Gross,Gross USA,imdbID
70251710,94000000,307,892,936743261,380843261,tt0266543
72629713,94000000,338,3316,1119929521,377845905,tt0167260
46630690,140000000,279,2152,654264015,305413918,tt0325980
91774413,150000000,271,2789,742128461,281492479,tt0234215
85734045,81000000,190,613,484572835,242829261,tt0315327
85558731,110000000,294,1074,407711549,214949694,tt0290334
31113501,33000000,158,421,47044933,173398518,tt0319343
44041440,200000000,281,1689,283000000,150371112,tt0181852
48475154,150000000,243,2116,427343298,139313948,tt0242653
27557647,40000000,106,288,190212113,138614544,tt0349205
46522560,130000000,95,514,273339556,138608444,tt0172156
42220847,75000000,130,480,195745823,135645823,tt0305224
31101026,33000000,120,239,164729679,132716677,tt0305669
62128420,137000000,267,1461,113107712,132177234,tt0286716
50472480,76000000,154,384,107376377,127154901,tt0322259
16064723,80000000,144,406,266728738,124728738,tt0337741
20854735,87000000,173,455,148336445,120277854,tt0329575
37062535,80000000,143,346,207725639,116934650,tt0257076
33417739,38000000,92,197,197011982,111761982,tt0338459
24271354,140000000,190,953,456758981,111110575,tt0325710
22203007,26000000,128,281,160846332,110230332,tt0322330
48113770,48000000,151,354,110670000,110003217,tt0306047
19457944,60000000,158,499,176070171,106128601,tt0317740
23774850,50000000,131,362,177371441,105813373,tt0251127
33369440,55000000,151,334,231449203,104565114,tt0328828
27623580,60000000,82,118,164433867,104297061,tt0317303
45033454,78000000,278,1052,179179718,102543520,tt0287978
38329160,109000000,111,487,133960541,101149285,tt0312528
37634221,120000000,103,560,158345677,100830111,tt0305357
14574213,79000000,199,683,173013509,95636509,tt0159365
25105990,150000000,246,696,212011111,93927920,tt0311113
22220670,45000000,131,295,124914842,90186328,tt0333780
640815,25000000,235,955,156822020,90135191,tt0327056
291940,128000000,117,163,250397798,85336277,tt0328880
36428066,30000000,278,900,114908830,82622655,tt0329101
19622714,35000000,205,493,131282949,81261177,tt0332379
28094014,9200000,241,737,26500000,80571655,tt0324216
24278410,90000000,124,180,182290266,75847266,tt0338094
17453216,24000000,126,405,87055349,75585093,tt0302886
22089322,30000000,363,2146,180949045,70099045,tt0266697
16300155,20000000,105,335,71406573,67406573,tt0311289
21895483,60000000,74,183,88929111,66934963,tt0257568
23075892,78000000,207,793,179265204,66465204,tt0311429
207377,70000000,241,833,122919055,66257002,tt0319061
21783641,95000000,165,323,156505388,65660196,tt0325703
11528498,65000000,140,271,141337989,63860942,tt0304415
19603630,50000000,166,194,88323487,60476872,tt0300471
12292952,23000000,201,491,77147031,60060328,tt0307987
6886080,40000000,226,1031,246942017,59696144,tt0314331
19288438,40000000,206,381,81896744,59694580,tt0348836
14047781,22000000,158,506,68613992,58331254,tt0316356
23424118,29000000,175,471,98185582,56359780,tt0285823
17548993,18000000,90,206,101564935,56127162,tt0305711
13462374,60000000,193,354,96269812,53790451,tt0338337
16302063,46000000,156,289,101191884,52802140,tt0292506
13303724,35000000,76,202,,52277485,tt0316465
16225263,30000000,141,722,90259536,52159536,tt0309698
21753759,22000000,228,820,95708457,51970690,tt0320691
11836705,60000000,166,368,80154140,49443628,tt0313542
11139495,100000000,160,484,121975011,48462608,tt0316396
14109797,20000000,84,63,135680000,47887943,tt0283426
14064317,26000000,78,105,10695398,47811138,tt0313911
18533765,85000000,153,260,80916492,47726342,tt0327850
16017141,26000000,178,479,90426405,46961214,tt0309593
925087,4000000,270,1876,119723856,44585453,tt0335266
17057213,70000000,93,401,42733286,43734876,tt0314353
9751425,18000000,109,318,58878723,43610723,tt0328589
17338755,17000000,68,174,11273034,42672630,tt0306841
12139832,30000000,82,299,,41407470,tt0327137
16185316,50000000,122,159,,40905277,tt0313443
11556869,25000000,46,36,13203787,39399750,tt0337711
13503484,35200000,45,83,,37788228,tt0325537
13107022,17000000,50,48,,37566230,tt0326900
11277367,20000000,72,132,,36922190,tt0263757
13087307,62000000,158,344,28659212,36906460,tt0325805
11434964,20000000,68,195,14622111,35990505,tt0286788
16813517,,50,145,13670324,35764982,tt0271668
18365222,17000000,171,320,63102666,35667218,tt0301470
12525075,60000000,166,330,120217409,35327628,tt0138524
16521486,30000000,111,186,56489558,34604054,tt0306685
86831,4500000,187,545,64240813,34469210,tt0340855
12618159,16000000,36,89,,34308901,tt0328099
13482638,55000000,134,320,10782486,34238611,tt0269347
9411055,55000000,124,157,65784503,33832741,tt0338466
15027423,68000000,180,675,75715436,33715436,tt0285531
12024917,11000000,140,371,47488536,32551396,tt0282209
12053131,60000000,150,476,74208267,31186896,tt0298814
151393,10000000,70,140,96542059,31041759,tt0337909
1100943,120000,235,926,54667954,30610863,tt0374102
11758372,15000000,37,59,,30238577,tt0191133
12856040,18000000,97,141,,30222640,tt0322589
11112632,75000000,131,254,,30013346,tt0329717
9134085,35000000,120,289,160583018,28082366,tt0274166
10833633,60000000,135,200,,27011180,tt0338188
11511960,50000000,132,296,15999250,26536120,tt0264395
6874477,60000000,97,95,80767884,26483452,tt0165982
10845064,19000000,86,267,39267515,26276465,tt0329028
11019224,36000000,109,138,44350926,26183197,tt0266465
6097758,,46,25,62870546,23103423,tt0323642
8653542,52000000,131,178,13960630,23020488,tt0245803
