Cumulative Worldwide Gross,Opening Weekend USA,user review number,Gross USA,critic number,imdbID,budget
1004558444,158411483,5321,534858444,635,tt0468569,185000000
585174222,98618668,1103,318412101,501,tt0371746,140000000
786636033,126917373,2085,317101119,474,tt0367882,185000000
624386746,62603879,602,227946274,313,tt0448157,150000000
534767889,63087526,1089,223808164,429,tt0910970,180000000
631744560,60239130,372,215434591,267,tt0441773,130000000
392616625,69637740,1554,192769854,345,tt1099212,37000000
603900354,63106589,123,180010950,166,tt0479952,150000000
,,1250,,402,tt0830515,
297138014,45012998,143,154529439,192,tt0451079,85000000
415252786,56848056,478,152647258,228,tt1000774,65000000
269958228,271720,900,148095302,375,tt1205489,33000000
226830568,24717037,992,145000989,304,tt0936501,25000000
609841637,27751240,629,144130063,239,tt0795421,52000000
244082376,36367586,328,143153751,180,tt0822832,60000000
419651413,55034805,444,141621490,259,tt0499448,225000000
377910544,360018,1034,141319928,420,tt1010048,15000000
263427551,55414050,674,134518390,369,tt0800080,150000000
341433252,50927085,732,134508551,316,tt0493464,75000000
230685453,38683480,393,130319208,265,tt0425061,80000000
333932083,26853816,858,127509326,373,tt0421715,150000000
163733697,31069826,128,120146040,140,tt0369436,80000000
309979994,26223128,184,114053579,227,tt0397892,150000000
188072649,25812796,589,110515313,314,tt0942385,92000000
212874442,27450296,120,110101975,144,tt0960731,80000000
401128639,40457770,515,102491776,268,tt0859163,145000000
241995151,21018141,216,101704370,200,tt0373051,45000000
178066569,29150721,324,101111837,209,tt1059786,80000000
128107642,30940732,288,100468793,178,tt0838283,65000000
199936011,38531374,387,100018837,200,tt0960144,90000000
228990976,18262471,252,97690976,190,tt1068680,70000000
269784201,35867488,562,94784201,251,tt0443649,105000000
149281606,29300465,103,94514402,98,tt1014775,20000000
252909177,42030184,173,90559416,127,tt0962726,11000000
101624843,23245025,384,87341380,234,tt0910936,27000000
200276784,21027007,444,83077833,276,tt0985699,75000000
157927340,24105943,286,81159365,146,tt0478087,35000000
219375797,20172474,153,80277646,147,tt1033643,35000000
222231186,32092991,493,80172128,238,tt0489099,85000000
170764026,46146546,2233,80048433,474,tt1060277,25000000
233093859,31000000,709,79366978,276,tt0970416,80000000
160259319,27442040,154,76808654,174,tt0988595,30000000
160388063,34539115,353,75754670,344,tt0411477,85000000
151161491,22874936,429,72266306,238,tt0443274,40000000
162839667,24740537,131,71195053,198,tt0416236,90000000
111231041,21589295,144,70231041,175,tt0770752,70000000
168168201,14851136,629,69951824,202,tt0814314,55000000
92380927,19167085,177,67294270,172,tt0430922,28000000
163403799,30517109,1292,64506874,331,tt0949731,48000000
105173115,17725330,330,63172463,253,tt0800039,30000000
163720069,19128001,562,60355347,351,tt0887883,37000000
,17407110,98,60269340,140,tt0871426,30000000
150816700,22125429,108,58017783,96,tt1023481,17500000
113864059,30053954,274,56746769,163,tt1132626,10800000
82391145,20997985,725,52597610,295,tt0482606,10000000
127980002,21401121,280,52075270,208,tt0865556,55000000
90482317,10103675,107,50877145,114,tt0420238,60000000
211342221,14800723,457,49554002,246,tt0455824,130000000
70442940,14533702,129,48237389,127,tt0852713,25000000
100074624,13210579,111,48006503,139,tt0410377,37000000
105962760,14756850,104,46012734,128,tt0866439,40000000
,13601419,56,45588608,64,tt0997047,
,10678430,34,44087387,72,tt1018785,
93945766,18561337,424,43945766,288,tt0811080,120000000
57197876,20804941,262,43869350,143,tt0926129,20000000
113244290,18203876,724,42754105,282,tt0462499,50000000
43650785,16207730,40,42436517,74,tt0494652,35000000
,20082809,32,41939392,40,tt1047494,
84375061,13418454,93,41850659,130,tt0956038,30000000
85416905,17639849,404,40689393,228,tt0467197,35000000
78460699,16288361,256,40081410,191,tt1034331,60000000
115097286,12884416,273,39394666,241,tt0758774,70000000
,15004672,140,39263506,163,tt0947802,22000000
84646831,18505530,411,38233676,109,tt1073498,30000000
,14908404,171,38087366,153,tt0481536,12000000
,17714821,34,37931869,67,tt0486578,
39947322,10527799,58,37766350,106,tt0416212,11000000
,17381218,51,37019849,28,tt1142798,
75677515,12621090,217,36316032,230,tt0452608,45000000
113020256,489015,400,35739802,266,tt0824747,55000000
68282844,14611273,247,35161554,212,tt1185834,8500000
113019290,168051,395,34194407,302,tt0976051,32000000
,15075114,119,33472850,164,tt0839980,55000000
33473297,6804764,222,33456317,50,tt1129423,500000
,507226,370,33422556,294,tt0918927,20000000
,10309986,105,32853640,146,tt0817538,40000000
40863344,13907130,256,32235793,143,tt0811138,62000000
,11472255,174,31973840,159,tt0832266,
,1453844,294,31841299,326,tt1013753,20000000
108979549,12063452,186,31715062,155,tt1129442,30000000
,14211321,376,31691811,196,tt1082868,12000000
,11311751,134,31487293,167,tt0981227,9000000
42105111,10065630,250,31457946,248,tt1007028,24000000
56964642,12425776,152,31418697,171,tt0406759,12000000
,12682595,118,31199215,178,tt0379865,58000000
77488607,11161074,238,30691439,209,tt0790686,35000000
64762724,7181374,47,30105968,78,tt0482603,37000000
,5935256,189,30028592,225,tt0200465,20000000
,11354069,247,28687835,194,tt0880578,35000000
51155219,123513,247,28644813,201,tt1034303,32000000
